type,find,traits,speedup_traits_over_find
char,36932199.87612639,81292201.47998539,2.2011199374162937
char16_t,80227122.9954587,111688424.94784528,1.3921529375317054
char32_t,192558776.8104763,265122282.33428824,1.3768382138988746
char8_t,39240501.07916939,81112323.77180603,2.067056269443615
wchar_t,195094865.14612055,260577419.78307605,1.3356446854093824
